Período,Sorotipo,Casos,Ano,CasosExtrap,Porcentagem
2007-01,1,70,2007-06,17000.0,34.31
2007-01,2,19,2007-06,4614.0,9.31
2007-01,3,99,2007-06,24043.0,48.53
2007-01,4,16,2007-06,3886.0,7.84
2007-02,1,157,2007-06,38854.0,45.38
2007-02,2,29,2007-06,7177.0,8.38
2007-02,3,142,2007-06,35142.0,41.04
2007-02,4,18,2007-06,4455.0,5.2
2007-03,3,340,2007-06,60111.0,40.87
2007-03,4,52,2007-06,9193.0,6.25
2007-03,1,411,2007-06,72664.0,49.4
2007-03,2,29,2007-06,5127.0,3.49
2007-04,1,289,2007-06,83818.0,56.33
2007-04,2,26,2007-06,7541.0,5.07
2007-04,3,142,2007-06,41184.0,27.68
2007-04,4,56,2007-06,16242.0,10.92
2007-05,1,320,2007-06,69187.0,66.12
2007-05,2,23,2007-06,4973.0,4.75
2007-05,3,108,2007-06,23351.0,22.31
2007-05,4,33,2007-06,7135.0,6.82
2007-06,4,12,2007-06,1534.0,3.37
2007-06,1,198,2007-06,25314.0,55.62
2007-06,2,124,2007-06,15853.0,34.83
2007-06,3,22,2007-06,2813.0,6.18
2007-07,1,78,2007-06,17010.0,56.94
2007-07,2,29,2007-06,6324.0,21.17
2007-07,3,24,2007-06,5234.0,17.52
2007-07,4,6,2007-06,1308.0,4.38
2007-08,4,4,2007-06,1041.0,5.33
2007-08,3,15,2007-06,3903.0,20.0
2007-08,1,39,2007-06,10147.0,52.0
2007-08,2,17,2007-06,4423.0,22.67
2007-09,1,53,2007-06,8402.0,62.35
2007-09,2,19,2007-06,3012.0,22.35
2007-09,3,7,2007-06,1110.0,8.24
2007-09,4,6,2007-06,951.0,7.06
2007-10,1,69,2007-06,13678.0,71.14
2007-10,2,12,2007-06,2379.0,12.37
2007-10,3,8,2007-06,1586.0,8.25
2007-10,4,8,2007-06,1586.0,8.25
2007-11,4,1,2007-06,262.0,1.05
2007-11,3,21,2007-06,5492.0,22.11
2007-11,1,53,2007-06,13861.0,55.79
2007-11,2,20,2007-06,5231.0,21.05
2007-12,1,60,2007-06,17907.0,61.86
2007-12,2,11,2007-06,3283.0,11.34
2007-12,3,23,2007-06,6864.0,23.71
2007-12,4,3,2007-06,895.0,3.09
2009-01,1,32,2009-06,23524.0,60.38
2009-01,2,15,2009-06,11027.0,28.3
2009-01,3,2,2009-06,1470.0,3.77
2009-01,4,4,2009-06,2940.0,7.55
2009-02,4,6,2009-06,3003.0,4.32
2009-02,3,15,2009-06,7506.0,10.79
2009-02,1,80,2009-06,40033.0,57.55
2009-02,2,38,2009-06,19016.0,27.34
2009-03,1,202,2009-06,78454.0,58.72
2009-03,2,81,2009-06,31459.0,23.55
2009-03,3,49,2009-06,19031.0,14.24
2009-03,4,12,2009-06,4661.0,3.49
2009-04,1,242,2009-06,67221.0,61.27
2009-04,2,48,2009-06,13333.0,12.15
2009-04,3,93,2009-06,25833.0,23.54
2009-04,4,12,2009-06,3333.0,3.04
2009-05,4,7,2009-06,1628.0,2.24
2009-05,1,199,2009-06,46284.0,63.58
2009-05,2,39,2009-06,9071.0,12.46
2009-05,3,68,2009-06,15816.0,21.73
2009-06,1,80,2009-06,23487.0,69.57
2009-06,2,12,2009-06,3523.0,10.43
2009-06,3,18,2009-06,5284.0,15.65
2009-06,4,5,2009-06,1468.0,4.35
2009-07,1,41,2009-06,15827.0,80.39
2009-07,2,3,2009-06,1158.0,5.88
2009-07,3,4,2009-06,1544.0,7.84
2009-07,4,3,2009-06,1158.0,5.88
2009-08,4,3,2009-06,1395.0,10.34
2009-08,1,23,2009-06,10697.0,79.31
2009-08,2,3,2009-06,1395.0,10.34
2009-09,1,28,2009-06,8404.0,82.35
2009-09,2,4,2009-06,1201.0,11.77
2009-09,4,2,2009-06,600.0,5.88
2009-10,1,55,2009-06,10522.0,83.34
2009-10,2,10,2009-06,1913.0,15.15
2009-10,4,1,2009-06,191.0,1.51
2009-11,4,10,2009-06,1447.0,4.76
2009-11,1,178,2009-06,25762.0,84.76
2009-11,2,19,2009-06,2750.0,9.05
2009-11,3,3,2009-06,434.0,1.43
2009-12,1,480,2009-06,47537.0,85.11
2009-12,2,67,2009-06,6635.0,11.88
2009-12,3,6,2009-06,594.0,1.06
2009-12,4,11,2009-06,1089.0,1.95
2010-01,4,17,2010-06,2791.0,2.33
2010-01,3,17,2010-06,2791.0,2.33
2010-01,1,600,2010-06,98490.0,82.19
2010-01,2,96,2010-06,15758.0,13.15
2010-02,1,802,2010-06,153418.0,83.63
2010-02,2,123,2010-06,23529.0,12.83
2010-02,3,11,2010-06,2104.0,1.15
2010-02,4,23,2010-06,4400.0,2.4
2010-03,1,1260,2010-06,248060.0,85.25
2010-03,2,162,2010-06,31893.0,10.96
2010-03,3,19,2010-06,3741.0,1.29
2010-03,4,37,2010-06,7284.0,2.5
2010-04,4,17,2010-06,4652.0,1.84
2010-04,3,4,2010-06,1094.0,0.43
2010-04,1,813,2010-06,222453.0,87.89
2010-04,2,91,2010-06,24899.0,9.84
2010-05,1,645,2010-06,159773.0,81.85
2010-05,2,105,2010-06,26009.0,13.32
2010-05,3,15,2010-06,3716.0,1.9
2010-05,4,23,2010-06,5697.0,2.92
2010-06,1,286,2010-06,60104.0,70.62
2010-06,2,90,2010-06,18914.0,22.22
2010-06,3,2,2010-06,420.0,0.49
2010-06,4,27,2010-06,5674.0,6.67
2010-07,4,22,2010-06,3554.0,6.43
2010-07,3,8,2010-06,1292.0,2.34
2010-07,1,265,2010-06,42811.0,77.49
2010-07,2,47,2010-06,7593.0,13.74
2010-08,1,203,2010-06,33413.0,78.99
2010-08,2,26,2010-06,4279.0,10.12
2010-08,3,2,2010-06,329.0,0.78
2010-08,4,26,2010-06,4279.0,10.12
2010-09,1,99,2010-06,28105.0,83.9
2010-09,2,7,2010-06,1987.0,5.93
2010-09,3,2,2010-06,568.0,1.7
2010-09,4,10,2010-06,2839.0,8.47
2010-10,4,9,2010-06,3231.0,11.39
2010-10,1,58,2010-06,20823.0,73.42
2010-10,2,12,2010-06,4308.0,15.19
2010-11,1,117,2010-06,34170.0,89.31
2010-11,2,6,2010-06,1752.0,4.58
2010-11,3,2,2010-06,584.0,1.53
2010-11,4,6,2010-06,1752.0,4.58
2010-12,1,266,2010-06,49580.0,88.67
2010-12,2,11,2010-06,2050.0,3.67
2010-12,3,2,2010-06,373.0,0.67
2010-12,4,21,2010-06,3914.0,7.0
2011-01,4,46,2011-06,9883.0,10.5
2011-01,1,344,2011-06,73911.0,78.54
2011-01,2,42,2011-06,9024.0,9.59
2011-01,3,6,2011-06,1289.0,1.37
2011-02,1,622,2011-06,120543.0,78.54
2011-02,2,113,2011-06,21899.0,14.27
2011-02,3,10,2011-06,1938.0,1.26
2011-02,4,47,2011-06,9109.0,5.93
2011-03,4,61,2011-06,15247.0,6.98
2011-03,2,63,2011-06,15747.0,7.21
2011-03,1,730,2011-06,182468.0,83.52
2011-03,3,20,2011-06,4999.0,2.29
2011-04,1,996,2011-06,209621.0,88.85
2011-04,2,81,2011-06,17048.0,7.23
2011-04,3,4,2011-06,842.0,0.36
2011-04,4,40,2011-06,8419.0,3.57
2011-05,4,31,2011-06,7682.0,4.23
2011-05,3,4,2011-06,991.0,0.55
2011-05,2,51,2011-06,12639.0,6.96
2011-05,1,647,2011-06,160336.0,88.27
2011-06,1,202,2011-06,58732.0,81.12
2011-06,2,24,2011-06,6978.0,9.64
2011-06,4,23,2011-06,6687.0,9.24
2011-07,1,57,2011-06,24316.0,70.37
2011-07,2,5,2011-06,2133.0,6.17
2011-07,4,19,2011-06,8105.0,23.46
2011-08,4,20,2011-06,9022.0,32.79
2011-08,3,1,2011-06,451.0,1.64
2011-08,1,39,2011-06,17592.0,63.93
2011-08,2,1,2011-06,451.0,1.64
2011-09,4,9,2011-06,3524.0,15.0
2011-09,2,4,2011-06,1566.0,6.66
2011-09,1,47,2011-06,18405.0,78.33
2011-10,1,25,2011-06,21435.0,75.76
2011-10,4,8,2011-06,6859.0,24.24
2011-11,1,80,2011-06,30113.0,87.91
2011-11,2,3,2011-06,1129.0,3.3
2011-11,3,1,2011-06,376.0,1.1
2011-11,4,7,2011-06,2635.0,7.69
2011-12,3,1,2011-06,376.0,0.82
2011-12,4,33,2011-06,12406.0,27.05
2011-12,1,86,2011-06,32331.0,70.49
2011-12,2,2,2011-06,752.0,1.64
2012-01,1,138,2012-06,34734.0,49.82
2012-01,2,6,2012-06,1510.0,2.17
2012-01,3,2,2012-06,503.0,0.72
2012-01,4,131,2012-06,32972.0,47.29
2012-02,1,191,2012-06,35001.0,40.21
2012-02,2,12,2012-06,2199.0,2.53
2012-02,3,2,2012-06,367.0,0.42
2012-02,4,270,2012-06,49478.0,56.84
2012-03,4,440,2012-06,87448.0,60.11
2012-03,3,3,2012-06,596.0,0.41
2012-03,2,29,2012-06,5764.0,3.96
2012-03,1,260,2012-06,51674.0,35.52
2012-04,1,382,2012-06,79947.0,44.73
2012-04,2,50,2012-06,10464.0,5.85
2012-04,3,2,2012-06,419.0,0.23
2012-04,4,420,2012-06,87900.0,49.18
2012-05,1,240,2012-06,75867.0,40.2
2012-05,2,25,2012-06,7903.0,4.19
2012-05,3,1,2012-06,316.0,0.17
2012-05,4,331,2012-06,104633.0,55.44
2012-06,4,145,2012-06,49430.0,55.13
2012-06,2,4,2012-06,1364.0,1.52
2012-06,1,114,2012-06,38862.0,43.35
2012-07,1,75,2012-06,23636.0,49.67
2012-07,2,3,2012-06,945.0,1.99
2012-07,3,5,2012-06,1576.0,3.31
2012-07,4,68,2012-06,21430.0,45.03
2012-08,1,42,2012-06,15022.0,47.19
2012-08,2,2,2012-06,715.0,2.25
2012-08,3,3,2012-06,1073.0,3.37
2012-08,4,42,2012-06,15022.0,47.19
2012-09,1,32,2012-06,11077.0,53.33
2012-09,4,28,2012-06,9693.0,46.67
2012-10,1,20,2012-06,6510.0,29.41
2012-10,2,9,2012-06,2930.0,13.24
2012-10,3,1,2012-06,326.0,1.47
2012-10,4,38,2012-06,12370.0,55.88
2012-11,1,46,2012-06,10756.0,40.71
2012-11,2,14,2012-06,3274.0,12.39
2012-11,3,4,2012-06,935.0,3.54
2012-11,4,49,2012-06,11458.0,43.36
2012-12,4,128,2012-06,27316.0,61.54
2012-12,1,69,2012-06,14725.0,33.17
2012-12,2,9,2012-06,1921.0,4.33
2012-12,3,2,2012-06,427.0,0.96
2013-01,4,395,2013-06,82098.0,45.25
2013-01,1,441,2013-06,91659.0,50.52
2013-01,2,34,2013-06,7067.0,3.89
2013-01,3,3,2013-06,624.0,0.34
2013-02,4,536,2013-06,142370.0,48.95
2013-02,3,6,2013-06,1594.0,0.55
2013-02,2,20,2013-06,5312.0,1.83
2013-02,1,533,2013-06,141574.0,48.68
2013-03,1,782,2013-06,301456.0,57.12
2013-03,2,40,2013-06,15420.0,2.92
2013-03,3,4,2013-06,1542.0,0.29
2013-03,4,543,2013-06,209323.0,39.66
2013-04,4,356,2013-06,174249.0,32.33
2013-04,3,10,2013-06,4895.0,0.91
2013-04,1,708,2013-06,346539.0,64.31
2013-04,2,27,2013-06,13215.0,2.45
2013-05,1,300,2013-06,141365.0,61.48
2013-05,2,11,2013-06,5183.0,2.25
2013-05,3,3,2013-06,1414.0,0.61
2013-05,4,174,2013-06,81991.0,35.66
2013-06,1,135,2013-06,51600.0,57.45
2013-06,2,7,2013-06,2676.0,2.98
2013-06,3,1,2013-06,382.0,0.43
2013-06,4,92,2013-06,35165.0,39.15
2013-07,3,3,2013-06,726.0,1.55
2013-07,4,83,2013-06,20077.0,42.78
2013-07,1,104,2013-06,25157.0,53.61
2013-07,2,4,2013-06,968.0,2.06
2013-08,2,3,2013-06,1532.0,4.92
2013-08,4,19,2013-06,9706.0,31.15
2013-08,1,37,2013-06,18900.0,60.65
2013-08,3,2,2013-06,1022.0,3.28
2013-09,1,27,2013-06,16780.0,75.0
2013-09,2,1,2013-06,621.0,2.78
2013-09,3,1,2013-06,621.0,2.78
2013-09,4,7,2013-06,4350.0,19.44
2013-10,1,24,2013-06,15659.0,72.73
2013-10,4,9,2013-06,5872.0,27.27
2013-11,4,7,2013-06,7563.0,30.44
2013-11,1,13,2013-06,14045.0,56.52
2013-11,2,3,2013-06,3241.0,13.04
2013-12,1,36,2013-06,25213.0,85.71
2013-12,2,1,2013-06,700.0,2.38
2013-12,4,5,2013-06,3502.0,11.91
2014-01,1,177,2014-06,46375.0,85.1
2014-01,2,2,2014-06,524.0,0.96
2014-01,3,2,2014-06,524.0,0.96
2014-01,4,27,2014-06,7074.0,12.98
2014-02,3,3,2014-06,593.0,0.74
2014-02,4,83,2014-06,16404.0,20.44
2014-02,1,319,2014-06,63047.0,78.57
2014-02,2,1,2014-06,198.0,0.25
2014-03,1,455,2014-06,101254.0,87.0
2014-03,2,4,2014-06,890.0,0.76
2014-03,3,1,2014-06,223.0,0.19
2014-03,4,63,2014-06,14020.0,12.05
2014-04,1,449,2014-06,159820.0,73.13
2014-04,2,10,2014-06,3559.0,1.63
2014-04,4,155,2014-06,55172.0,25.24
2014-05,2,5,2014-06,1926.0,1.04
2014-05,1,347,2014-06,133647.0,71.84
2014-05,4,131,2014-06,50455.0,27.12
2014-06,1,166,2014-06,62157.0,72.17
2014-06,2,1,2014-06,374.0,0.43
2014-06,3,2,2014-06,749.0,0.87
2014-06,4,61,2014-06,22841.0,26.52
2014-07,4,39,2014-06,12933.0,26.53
2014-07,1,107,2014-06,35483.0,72.79
2014-07,2,1,2014-06,332.0,0.68
2014-08,4,18,2014-06,6898.0,21.43
2014-08,2,3,2014-06,1150.0,3.57
2014-08,1,62,2014-06,23759.0,73.81
2014-08,3,1,2014-06,383.0,1.19
2014-09,1,57,2014-06,25731.0,76.0
2014-09,2,1,2014-06,451.0,1.33
2014-09,3,3,2014-06,1354.0,4.0
2014-09,4,14,2014-06,6320.0,18.67
2014-10,1,74,2014-06,31978.0,87.06
2014-10,2,1,2014-06,432.0,1.18
2014-10,4,10,2014-06,4321.0,11.76
2014-11,4,4,2014-06,1983.0,5.88
2014-11,3,1,2014-06,496.0,1.47
2014-11,1,63,2014-06,31229.0,92.65
2014-12,1,94,2014-06,30282.0,86.24
2014-12,2,2,2014-06,644.0,1.83
2014-12,4,13,2014-06,4188.0,11.93
2015-01,3,1,2015-06,205.0,0.21
2015-01,4,25,2015-06,5131.0,5.29
2015-01,1,442,2015-06,90719.0,93.45
2015-01,2,5,2015-06,1026.0,1.06
2015-02,4,66,2015-06,19173.0,8.58
2015-02,1,693,2015-06,201315.0,90.12
2015-02,2,5,2015-06,1452.0,0.65
2015-02,3,5,2015-06,1452.0,0.65
2015-03,1,1225,2015-06,483049.0,92.59
2015-03,2,15,2015-06,5915.0,1.13
2015-03,3,1,2015-06,394.0,0.08
2015-03,4,82,2015-06,32335.0,6.2
2015-04,4,79,2015-06,48561.0,8.9
2015-04,2,9,2015-06,5532.0,1.01
2015-04,1,798,2015-06,490524.0,89.86
2015-04,3,2,2015-06,1229.0,0.23
2015-05,1,733,2015-06,354323.0,89.5
2015-05,2,6,2015-06,2900.0,0.73
2015-05,3,10,2015-06,4834.0,1.22
2015-05,4,70,2015-06,33837.0,8.55
2015-06,4,19,2015-06,7505.0,4.43
